"response_id","accomm_type_used"
"GEN24_1000426","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000426","Staying with family or friends"
"GEN24_1000430","Staying with family or friends"
"GEN24_1000442","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000442","Staying with family or friends"
"GEN24_1000446","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000447","Hotel"
"GEN24_1000456","Hotel"
"GEN24_1000456","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000460","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000460","Staying with family or friends"
"GEN24_1000468","Staying with family or friends"
"GEN24_1000472","Hotel"
"GEN24_1000472","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000474","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000474","Staying with family or friends"
"GEN24_1000476","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000476","Staying with family or friends"
"GEN24_1000481","Staying with family or friends"
"GEN24_1000484","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000484","Staying with family or friends"
"GEN24_1000485","House / flat that you paid some rent for"
"GEN24_1000485","Staying with family or friends"
"GEN24_1000488","House / flat that you paid some rent for"
"GEN24_1000488","Staying with family or friends"
"GEN24_1000497","Staying with family or friends"
"GEN24_1000498","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000502","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000508","Hotel"
"GEN24_1000510","Staying with family or friends"
"GEN24_1000511","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000511","Staying with family or friends"
"GEN24_1000512","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1000518","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1000518","Motel, Motor Inn or Serviced Apartment"
"GEN24_1000518","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
