"response_id","pure_nz_logo","pure_nz_influence_decision","qualmark_awareness","tiaki_awareness","isite_usage"
"GEN24_1000426","Yes","No","I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000430","No",NA,"I wasn’t aware of Qualmark before today","No","Don’t know"
"GEN24_1000442","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000446","Yes","No","Before arriving in New Zealand","Yes","Yes"
"GEN24_1000447","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000456","Yes","No","I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000460","Not sure",NA,"I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000468","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000472","Yes","No","I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000474","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000476","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000481","Yes","No","I wasn’t aware of Qualmark before today","No","No"
"GEN24_1000484","Yes","No","Before arriving in New Zealand","Don’t know","Yes"
"GEN24_1000485","Not sure",NA,"I wasn’t aware of Qualmark before today","No","Don’t know"
"GEN24_1000488","Yes","Yes","I wasn’t aware of Qualmark before today","No","Yes"
"GEN24_1000497","No",NA,"I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000498","No",NA,"I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000502","Yes","No","I wasn’t aware of Qualmark before today","Yes","No"
"GEN24_1000508","Yes","No","After arriving in New Zealand","Yes","No"
"GEN24_1000510","No",NA,"I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000511","Yes","No","I wasn’t aware of Qualmark before today","No","Wasn’t aware of i-Site before today"
"GEN24_1000512",NA,NA,NA,NA,"No"
"GEN24_1000518","Yes","No","Before arriving in New Zealand","No","Yes"
"GEN24_1000521","Not sure",NA,"I wasn’t aware of Qualmark before today","No","No"
