"response_id","factor_for_visit","is_top_three"
"GEN24_1000426","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000430","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000442","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000446","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000447","None of these",FALSE
"GEN24_1000456","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000456","Its landscapes and scenery",FALSE
"GEN24_1000456","Sports events or activities",FALSE
"GEN24_1000460","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000468","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000472","Its landscapes and scenery",FALSE
"GEN24_1000472","The variety of outdoor and adventure activities",FALSE
"GEN24_1000474","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000476","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000481","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000481","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000481","Its landscapes and scenery",FALSE
"GEN24_1000484","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000485","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000485","Its landscapes and scenery",FALSE
"GEN24_1000488","Its landscapes and scenery",FALSE
"GEN24_1000497","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000498","Work / business",FALSE
"GEN24_1000502","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000508","Sports events or activities",FALSE
"GEN24_1000510","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000511","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000518","A specific event brought me to New Zealand e.g. sporting or cultural event, wedding, family event, etc",FALSE
"GEN24_1000518","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000521","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000522","I wanted to visit friends or family in New Zealand",FALSE
"GEN24_1000523","I wanted to visit friends or family in New Zealand",FALSE
