"response_id","covid_restrictions_rating","covidclean_consideration"
"GEN24_1000426","2 - Not very","1 - Never"
"GEN24_1000430","2 - Not very","2 - Sometimes"
"GEN24_1000442","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000446","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000447","3 - Fairly","1 - Never"
"GEN24_1000456","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000460","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1000468","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000472","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000474","2 - Not very","3 - Most of the time"
"GEN24_1000476","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1000481","4 - Very","4 - Always"
"GEN24_1000484","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000485","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1000488","4 - Very","Not sure"
"GEN24_1000497","2 - Not very","3 - Most of the time"
"GEN24_1000498","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000502","2 - Not very","1 - Never"
"GEN24_1000508","1 - Not at all","1 - Never"
"GEN24_1000510","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000511","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000518","2 - Not very","Not sure"
"GEN24_1000521","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000522","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000523","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000524","3 - Fairly","1 - Never"
"GEN24_1000528","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000530","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000534","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000535","4 - Very","2 - Sometimes"
"GEN24_1000536","1 - Not at all","4 - Always"
"GEN24_1000538","2 - Not very","1 - Never"
"GEN24_1000539","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000540","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000542","3 - Fairly","2 - Sometimes"
"GEN24_1000543","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000558","2 - Not very","1 - Never"
"GEN24_1000566","2 - Not very","1 - Never"
"GEN24_1000571","1 - Not at all","3 - Most of the time"
"GEN24_1000574","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000576","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000581","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000582","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000589","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000609","4 - Very","1 - Never"
"GEN24_1000611","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000612","1 - Not at all","1 - Never"
"GEN24_1000615","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000616","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000621","2 - Not very","4 - Always"
"GEN24_1000622","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000624","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000625","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000626","2 - Not very","Not sure"
"GEN24_1000632","3 - Fairly","3 - Most of the time"
"GEN24_1000633","2 - Not very","3 - Most of the time"
"GEN24_1000637","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000649","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000650","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000653","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000655","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000660","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000662","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000663","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000664","2 - Not very","Not sure"
"GEN24_1000669","1 - Not at all","1 - Never"
"GEN24_1000671","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000674","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000676","3 - Fairly","4 - Always"
"GEN24_1000677","1 - Not at all","2 - Sometimes"
"GEN24_1000691","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000693","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000697","2 - Not very","3 - Most of the time"
"GEN24_1000700","2 - Not very","2 - Sometimes"
"GEN24_1000706","2 - Not very","3 - Most of the time"
"GEN24_1000708","1 - Not at all","1 - Never"
"GEN24_1000711","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000713","3 - Fairly","1 - Never"
"GEN24_1000718","1 - Not at all","2 - Sometimes"
"GEN24_1000719","2 - Not very","1 - Never"
"GEN24_1000720","2 - Not very","1 - Never"
"GEN24_1000729","1 - Not at all","1 - Never"
"GEN24_1000731","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000736","2 - Not very","1 - Never"
"GEN24_1000739","2 - Not very","1 - Never"
"GEN24_1000746","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000748","4 - Very","1 - Never"
"GEN24_1000760","4 - Very",NA
"GEN24_1000766","3 - Fairly","1 - Never"
"GEN24_1000778","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000781","2 - Not very","2 - Sometimes"
"GEN24_1000783","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000789","3 - Fairly","Not sure"
"GEN24_1000790","3 - Fairly","1 - Never"
"GEN24_1000791","2 - Not very","3 - Most of the time"
"GEN24_1000792","1 - Not at all","1 - Never"
"GEN24_1000793","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000797","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000804","2 - Not very","1 - Never"
"GEN24_1000807","2 - Not very","3 - Most of the time"
"GEN24_1000821","2 - Not very","1 - Never"
"GEN24_1000823","4 - Very","4 - Always"
"GEN24_1000824","2 - Not very","3 - Most of the time"
"GEN24_1000826","2 - Not very","3 - Most of the time"
"GEN24_1000828","2 - Not very","2 - Sometimes"
"GEN24_1000829","4 - Very","1 - Never"
"GEN24_1000837","2 - Not very","1 - Never"
"GEN24_1000844","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1000853","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000857","1 - Not at all","3 - Most of the time"
"GEN24_1000864","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000865","3 - Fairly","Not sure"
"GEN24_1000868","3 - Fairly","1 - Never"
"GEN24_1000869","2 - Not very","1 - Never"
"GEN24_1000870","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000871","2 - Not very","2 - Sometimes"
"GEN24_1000873","1 - Not at all","1 - Never"
"GEN24_1000877","1 - Not at all","1 - Never"
"GEN24_1000879","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1000884","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000890","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000900","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000902","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000904","3 - Fairly","Not sure"
"GEN24_1000907","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000916","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000918","1 - Not at all","4 - Always"
"GEN24_1000927","3 - Fairly","1 - Never"
"GEN24_1000928","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000937","2 - Not very","1 - Never"
"GEN24_1000945","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000948","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000950","1 - Not at all","1 - Never"
"GEN24_1000963","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000964","2 - Not very","1 - Never"
"GEN24_1000977","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000980","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000982","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1000986","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1000989","2 - Not very","1 - Never"
"GEN24_1000991","2 - Not very","1 - Never"
"GEN24_1000992","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1000998","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001003","3 - Fairly","1 - Never"
"GEN24_1001004","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001011","3 - Fairly","2 - Sometimes"
"GEN24_1001018","2 - Not very","1 - Never"
"GEN24_1001020","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001021","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001023","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001027","1 - Not at all","2 - Sometimes"
"GEN24_1001038","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001047","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1001056","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001059","2 - Not very","4 - Always"
"GEN24_1001060","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001061","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001068","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001069","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001074","1 - Not at all","1 - Never"
"GEN24_1001077","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001083","3 - Fairly","4 - Always"
"GEN24_1001088","1 - Not at all","Not sure"
"GEN24_1001089","2 - Not very","1 - Never"
"GEN24_1001090","Don't know","Haven't heard of COVIDCLEAN"
"GEN24_1001094","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001100","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001106","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001111","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001112","2 - Not very","Not sure"
"GEN24_1001113","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001116","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1001119","1 - Not at all","3 - Most of the time"
"GEN24_1001120","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001125","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001130","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001135","2 - Not very","3 - Most of the time"
"GEN24_1001139","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001148","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001151","1 - Not at all","1 - Never"
"GEN24_1001158","4 - Very","1 - Never"
"GEN24_1001160","4 - Very","1 - Never"
"GEN24_1001161","2 - Not very","2 - Sometimes"
"GEN24_1001164","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001168","1 - Not at all","1 - Never"
"GEN24_1001169","2 - Not very","3 - Most of the time"
"GEN24_1001176","4 - Very","1 - Never"
"GEN24_1001178","4 - Very","3 - Most of the time"
"GEN24_1001182","4 - Very","4 - Always"
"GEN24_1001183","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1001187","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001188","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1001191","4 - Very","Haven't heard of COVIDCLEAN"
