"response_id","mobility_difficulty","rating"
"GEN24_1000426","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000426","Remembering or concentrating","4 - No difficulty"
"GEN24_1000426","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000426","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000430","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000430","Remembering or concentrating","4 - No difficulty"
"GEN24_1000430","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000430","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000442","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000442","Remembering or concentrating","4 - No difficulty"
"GEN24_1000442","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000442","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000446","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000446","Remembering or concentrating","4 - No difficulty"
"GEN24_1000446","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000446","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000447","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000447","Remembering or concentrating","4 - No difficulty"
"GEN24_1000447","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000447","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000456","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000456","Remembering or concentrating","4 - No difficulty"
"GEN24_1000456","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000456","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000460","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000460","Remembering or concentrating","4 - No difficulty"
"GEN24_1000460","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000460","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000468","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000468","Remembering or concentrating","3 - Some difficulty"
"GEN24_1000468","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000468","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000472","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000472","Remembering or concentrating","4 - No difficulty"
"GEN24_1000472","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000472","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000474","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000474","Remembering or concentrating","4 - No difficulty"
"GEN24_1000474","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000474","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000476","Hearing, even if using a hearing device","3 - Some difficulty"
"GEN24_1000476","Remembering or concentrating","Prefer not to say"
"GEN24_1000476","Seeing, even when wearing glasses","3 - Some difficulty"
"GEN24_1000476","Walking or climbing stairs","2 - A lot of difficulty"
"GEN24_1000481","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000481","Remembering or concentrating","4 - No difficulty"
"GEN24_1000481","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000481","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000484","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000484","Remembering or concentrating","4 - No difficulty"
"GEN24_1000484","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000484","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000485","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000485","Remembering or concentrating","4 - No difficulty"
"GEN24_1000485","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000485","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000488","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000488","Remembering or concentrating","4 - No difficulty"
"GEN24_1000488","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000488","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000497","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000497","Remembering or concentrating","4 - No difficulty"
"GEN24_1000497","Seeing, even when wearing glasses","4 - No difficulty"
"GEN24_1000497","Walking or climbing stairs","4 - No difficulty"
"GEN24_1000498","Hearing, even if using a hearing device","4 - No difficulty"
"GEN24_1000498","Remembering or concentrating","4 - No difficulty"
"GEN24_1000498","Seeing, even when wearing glasses","4 - No difficulty"
