"response_id","visited_before_or_after","country","nights"
"GEN24_1000488","Before","Hong Kong (Special Administrative Region)",1
"GEN24_1000512","After","French Polynesia",7
"GEN24_1000612","After","Cambodia",12
"GEN24_1000612","After","England",5
"GEN24_1000612","After","Switzerland",4
"GEN24_1000612","Before","Cambodia",36
"GEN24_1000637","Before","Australia",1
"GEN24_1000719","After","Australia",1
"GEN24_1000719","Before","Australia",1
"GEN24_1000729","After","Australia",4
"GEN24_1000731","After","Australia",99
"GEN24_1000731","Before","Australia",99
"GEN24_1000746","Before","Australia",1
"GEN24_1000748","After","Australia",1
"GEN24_1000778","After","Australia",30
"GEN24_1000829","After","Australia",2
"GEN24_1000853","After","Australia",10
"GEN24_1000853","Before","Australia",10
"GEN24_1000871","After","Australia",10
"GEN24_1000871","After","Germany",1
"GEN24_1000871","Before","Australia",11
"GEN24_1000871","Before","Germany",2
"GEN24_1000873","After","Australia",1
"GEN24_1000873","Before","Australia",5
"GEN24_1000877","Before","Australia",20
"GEN24_1000879","After","Canada",80
"GEN24_1000879","Before","Hong Kong (Special Administrative Region)",1
"GEN24_1000927","After","Thailand",6
"GEN24_1000980","Before","Australia",15
"GEN24_1000992","After","Australia",14
"GEN24_1000992","Before","Australia",14
"GEN24_1001074","After","Australia",7
"GEN24_1001090","Before","Australia",1
"GEN24_1001135","Before","United States of America",1
"GEN24_1001139","After","Singapore",4
"GEN24_1001139","Before","Malaysia",11
"GEN24_1001139","Before","Singapore",7
"GEN24_1001160","After","Singapore",1
"GEN24_1001160","Before","Singapore",4
"GEN24_1001183","Before","Australia",39
"GEN24_1001209","Before","Australia",3
"GEN24_1001230","After","Australia",1
"GEN24_1001230","Before","Australia",1
"GEN24_1001235","Before","Australia",1
"GEN24_1001313","After","Australia",14
"GEN24_1001350","After","Kenya",14
"GEN24_1001350","Before","Spain",28
"GEN24_1001417","After","Australia",8
"GEN24_1001417","Before","Australia",2
"GEN24_1001440","After","Australia",2
"GEN24_1001446","After","Canada",4
"GEN24_1001446","After","Scotland",1
"GEN24_1001446","Before","Austria",4
"GEN24_1001446","Before","French Polynesia",7
"GEN24_1001446","Before","Singapore",4
"GEN24_1001446","Before","Turkey",2
"GEN24_1001447","Before","Austria",9
"GEN24_1001447","Before","Switzerland",2
"GEN24_1001447","Before","United Arab Emirates",1
"GEN24_1001478","After","Australia",1
"GEN24_1001493","Before","Australia",6
"GEN24_1001507","After","Fiji",4
"GEN24_1001507","After","Singapore",3
"GEN24_1001511","Before","Australia",1
"GEN24_1001514","After","Australia",1
"GEN24_1001527","After","Qatar",1
"GEN24_1001527","Before","Australia",1
"GEN24_1001548","Before","Australia",7
"GEN24_1001557","After","Australia",36
"GEN24_1001560","After","Australia",1
"GEN24_1001560","Before","Australia",99
"GEN24_1001646","After","China, People's Republic of",99
"GEN24_1001646","Before","Australia",99
"GEN24_1001651","After","Turkey",1
"GEN24_1001659","After","United States of America",5
"GEN24_1001659","Before","Singapore",5
"GEN24_1001681","After","Hong Kong (Special Administrative Region)",1
"GEN24_1001681","Before","Hong Kong (Special Administrative Region)",1
"GEN24_1001696","After","Australia",9
"GEN24_1001701","Before","Australia",60
"GEN24_1001717","After","Australia",3
"GEN24_1001757","Before","Australia",35
"GEN24_1001771","Before","United States of America",1
"GEN24_1001793","After","Australia",1
"GEN24_1001793","Before","Australia",1
"GEN24_1001805","After","Australia",2
"GEN24_1001805","Before","Australia",25
"GEN24_1001822","Before","Australia",17
"GEN24_1001841","Before","Singapore",2
"GEN24_1001872","Before","Australia",50
"GEN24_1001889","After","Canada",1
"GEN24_1001901","Before","Australia",8
"GEN24_1001906","After","Australia",1
"GEN24_1001906","Before","Australia",1
"GEN24_1001918","After","Egypt",14
"GEN24_1001918","Before","Argentina",5
"GEN24_1001918","Before","Brazil",5
"GEN24_1001918","Before","Colombia",21
"GEN24_1001918","Before","Peru",5
"GEN24_1001924","After","Taiwan",10
"GEN24_1001924","Before","Japan",45
"GEN24_1001930","Before","Australia",1
"GEN24_1001940","Before","Australia",1
"GEN24_1001971","Before","Japan",3
"GEN24_1001972","After","Singapore",1
"GEN24_1001972","Before","Singapore",1
"GEN24_1001975","Before","Singapore",2
"GEN24_1001975","Before","Turkey",25
"GEN24_1001986","After","Australia",30
"GEN24_1001986","Before","Australia",30
"GEN24_1002005","After","United States of America",10
"GEN24_1002005","Before","Indonesia",60
"GEN24_1002005","Before","Italy",7
"GEN24_1002009","After","Singapore",2
"GEN24_1002011","Before","Singapore",1
"GEN24_1002022","After","Australia",1
"GEN24_1002039","After","Australia",10
"GEN24_1002039","Before","Australia",10
"GEN24_1002092","After","Australia",30
"GEN24_1002171","After","Australia",1
"GEN24_1002171","Before","Australia",1
"GEN24_1002191","Before","Australia",1
"GEN24_1002226","After","United States of America",18
"GEN24_1002229","After","Brunei Darussalam",35
"GEN24_1002284","After","Australia",36
"GEN24_1002297","Before","Australia",1
"GEN24_1002298","Before","Australia",10
"GEN24_1002345","After","Singapore",1
"GEN24_1002346","After","Singapore",2
"GEN24_1002361","After","Australia",90
"GEN24_1002361","Before","Australia",50
"GEN24_1002369","Before","Australia",1
"GEN24_1002383","After","Australia",16
"GEN24_1002384","Before","Australia",99
"GEN24_1002436","After","Australia",99
"GEN24_1002436","Before","Australia",99
"GEN24_1002443","Before","Singapore",1
"GEN24_1002488","After","Australia",1
"GEN24_1002514","After","United States of America",1
"GEN24_1002536","After","Australia",1
"GEN24_1002559","After","Australia",4
"GEN24_1002561","Before","Australia",10
"GEN24_1002585","After","Australia",10
"GEN24_1002585","Before","Australia",36
"GEN24_1002671","After","Australia",12
"GEN24_1002671","Before","Australia",14
"GEN24_1002674","Before","Australia",3
"GEN24_1002677","After","United States of America",5
"GEN24_1002717","Before","Australia",4
"GEN24_1002762","Before","Fiji",16
"GEN24_1002786","After","Australia",1
"GEN24_1002853","Before","New Caledonia",2
"GEN24_1002856","After","Australia",1
"GEN24_1002858","After","Australia",99
"GEN24_1002951","Before","Australia",30
"GEN24_1003081","Before","Australia",1
"GEN24_1003092","Before","Australia",21
"GEN24_1003116","After","Australia",7
"GEN24_1003116","Before","Australia",3
"GEN24_1003118","After","Australia",30
"GEN24_1003142","After","Australia",12
"GEN24_1003146","After","Australia",1
"GEN24_1003146","Before","Australia",1
"GEN24_1003158","Before","Australia",1
"GEN24_1003162","Before","Colombia",28
"GEN24_1003202","Before","Australia",2
"GEN24_1003202","Before","Canada",20
"GEN24_1003206","After","United States of America",1
"GEN24_1003206","Before","United States of America",2
"GEN24_1003209","After","Australia",5
"GEN24_1003217","After","Philippines",14
"GEN24_1003217","Before","Australia",24
"GEN24_1003235","After","Australia",1
"GEN24_1003235","Before","Australia",1
"GEN24_1003273","Before","French Polynesia",30
"GEN24_1003280","After","Thailand",7
"GEN24_1003323","After","Canada",14
"GEN24_1003354","After","Australia",1
"GEN24_1003354","Before","Australia",10
"GEN24_1003378","After","Singapore",1
"GEN24_1003379","After","Singapore",1
"GEN24_1003379","Before","Singapore",1
"GEN24_1003435","After","Malaysia",15
"GEN24_1003435","Before","Malaysia",5
"GEN24_1003454","After","Australia",9
"GEN24_1003454","Before","Australia",9
"GEN24_1003456","Before","Australia",3
"GEN24_1003472","After","Australia",1
"GEN24_1003472","Before","Australia",1
"GEN24_1003503","After","Cambodia",15
"GEN24_1003503","After","Indonesia",15
"GEN24_1003503","After","Philippines",30
"GEN24_1003503","After","Viet Nam",30
"GEN24_1003503","Before","Australia",30
"GEN24_1003528","Before","Australia",3
"GEN24_1003538","After","United States of America",4
"GEN24_1003570","After","Australia",99
"GEN24_1003570","Before","Australia",80
"GEN24_1003622","Before","Australia",1
"GEN24_1003736","After","United States of America",10
"GEN24_1003738","Before","Australia",6
"GEN24_1003750","After","Italy",2
"GEN24_1003750","Before","Canada",2
"GEN24_1003750","Before","Italy",2
"GEN24_1003760","After","Australia",99
"GEN24_1003767","After","China, People's Republic of",60
"GEN24_1003783","After","Australia",89
"GEN24_1003783","Before","Australia",72
"GEN24_1003803","After","Australia",5
"GEN24_1003842","After","United States of America",6
"GEN24_1003853","After","Canada",10
"GEN24_1003853","Before","Australia",14
"GEN24_1003857","After","Australia",5
"GEN24_1003857","Before","Australia",21
"GEN24_1003907","After","Australia",1
"GEN24_1003907","Before","Australia",1
"GEN24_1003908","After","Australia",20
"GEN24_1003908","Before","Australia",6
"GEN24_1003909","After","Australia",99
"GEN24_1003909","Before","Australia",99
"GEN24_1003960","Before","Australia",99
"GEN24_1003964","Before","Australia",1
"GEN24_1003974","After","Australia",30
"GEN24_1004009","Before","United States of America",3
"GEN24_1004024","Before","Australia",1
"GEN24_1004049","After","Australia",6
"GEN24_1004049","Before","Australia",6
"GEN24_1004051","Before","Australia",6
"GEN24_1004054","Before","Fiji",6
"GEN24_1004057","After","Canada",5
"GEN24_1004057","After","United States of America",5
"GEN24_1004057","Before","Australia",21
"GEN24_1004057","Before","United Arab Emirates",3
"GEN24_1004094","Before","Australia",8
"GEN24_1004109","Before","Australia",10
"GEN24_1004149","Before","Hong Kong (Special Administrative Region)",3
"GEN24_1004149","Before","Japan",4
"GEN24_1004149","Before","Philippines",6
"GEN24_1004154","Before","Australia",14
"GEN24_1004157","Before","Singapore",2
"GEN24_1004183","Before","Australia",12
"GEN24_1004293","After","Switzerland",1
"GEN24_1004293","Before","Australia",5
"GEN24_1004293","Before","French Polynesia",7
"GEN24_1004294","After","United States of America",4
"GEN24_1004301","Before","Australia",1
"GEN24_1004351","Before","Australia",10
"GEN24_1004355","After","Australia",1
"GEN24_1004355","Before","Australia",1
"GEN24_1004377","After","United States of America",1
"GEN24_1004377","Before","United States of America",2
"GEN24_1004403","After","Australia",56
"GEN24_1004403","Before","Australia",45
"GEN24_1004418","After","Australia",10
"GEN24_1004425","After","Australia",1
"GEN24_1004500","Before","Korea, Republic of",20
"GEN24_1004522","Before","Malaysia",1
"GEN24_1004527","Before","Australia",3
"GEN24_1004569","After","Hong Kong (Special Administrative Region)",1
"GEN24_1004599","After","China, People's Republic of",30
"GEN24_1004599","Before","Australia",20
"GEN24_1004603","Before","Australia",88
"GEN24_1004623","Before","Australia",21
"GEN24_1004641","After","United Arab Emirates",4
"GEN24_1004641","Before","Australia",7
"GEN24_1004641","Before","Philippines",1
"GEN24_1004643","Before","Singapore",1
"GEN24_1004652","Before","Australia",21
"GEN24_1004672","After","Australia",10
"GEN24_1004672","Before","Australia",21
"GEN24_1004685","After","Australia",1
"GEN24_1004685","Before","Australia",1
"GEN24_1004701","Before","Australia",4
"GEN24_1004761","After","Singapore",1
"GEN24_1004761","Before","Singapore",2
"GEN24_1004872","After","Australia",3
"GEN24_1004872","Before","Australia",14
"GEN24_1004881","Before","French Polynesia",9
"GEN24_1004902","Before","Australia",11
"GEN24_1004906","After","Australia",21
"GEN24_1004906","Before","Australia",21
"GEN24_1004920","After","Thailand",14
"GEN24_1004920","Before","Australia",42
"GEN24_1004928","After","France",10
"GEN24_1004928","Before","Australia",5
"GEN24_1004935","After","Australia",10
"GEN24_1004943","Before","Australia",1
"GEN24_1004974","After","Australia",1
"GEN24_1005003","After","Australia",99
"GEN24_1005003","Before","Australia",10
"GEN24_1005034","Before","Australia",36
"GEN24_1005036","After","Australia",5
"GEN24_1005036","Before","Australia",1
"GEN24_1005069","Before","Australia",1
"GEN24_1005095","After","China, People's Republic of",30
"GEN24_1005101","After","Maldives",6
"GEN24_1005107","After","Australia",6
"GEN24_1005111","After","Australia",1
"GEN24_1005111","Before","Australia",1
"GEN24_1005138","After","Maldives",7
"GEN24_1005141","After","Switzerland",14
"GEN24_1005152","After","Australia",45
"GEN24_1005152","After","England",45
"GEN24_1005152","Before","Australia",45
"GEN24_1005164","After","United States of America",99
"GEN24_1005164","Before","England",8
"GEN24_1005173","After","South Africa",6
"GEN24_1005173","Before","South Africa",10
"GEN24_1005180","Before","Australia",12
"GEN24_1005181","Before","Australia",13
"GEN24_1005206","Before","Australia",8
"GEN24_1005216","Before","Spain",1
"GEN24_1005217","After","United Arab Emirates",1
"GEN24_1005217","Before","Australia",8
"GEN24_1005218","Before","Australia",23
"GEN24_1005226","After","Australia",1
"GEN24_1005273","After","New Caledonia",1
"GEN24_1005303","Before","Australia",1
"GEN24_1005303","Before","Viet Nam",14
"GEN24_1005324","After","Australia",1
"GEN24_1005324","Before","Australia",1
"GEN24_1005343","After","United States of America",99
"GEN24_1005343","Before","Australia",6
"GEN24_1005350","After","Nepal",45
"GEN24_1005350","Before","Australia",30
"GEN24_1005350","Before","Thailand",99
"GEN24_1005350","Before","Viet Nam",30
"GEN24_1005369","Before","Australia",10
"GEN24_1005369","Before","Indonesia",6
"GEN24_1005372","After","Singapore",2
"GEN24_1005372","Before","Singapore",5
"GEN24_1005394","After","Australia",60
"GEN24_1005394","Before","Australia",60
"GEN24_1005411","Before","Australia",4
"GEN24_1005424","Before","Australia",30
"GEN24_1005425","Before","Australia",21
"GEN24_1005452","After","Fiji",3
"GEN24_1005452","Before","Australia",12
"GEN24_1005457","After","Fiji",3
"GEN24_1005457","Before","Australia",8
"GEN24_1005527","After","Singapore",2
"GEN24_1005527","Before","Fiji",4
"GEN24_1005527","Before","Singapore",1
"GEN24_1005552","After","United States of America",2
"GEN24_1005552","Before","United States of America",1
"GEN24_1005599","Before","Korea, Republic of",7
"GEN24_1005606","Before","French Polynesia",1
"GEN24_1005606","Before","United States of America",1
"GEN24_1005608","Before","Australia",19
"GEN24_1005611","Before","French Polynesia",2
"GEN24_1005611","Before","United States of America",1
"GEN24_1005630","Before","Australia",99
"GEN24_1005642","Before","United States of America",44
"GEN24_1005645","Before","Australia",7
"GEN24_1005661","After","New Caledonia",7
"GEN24_1005667","After","Australia",99
"GEN24_1005705","Before","Australia",14
"GEN24_1005705","Before","Bolivia",21
"GEN24_1005705","Before","Chile",7
"GEN24_1005705","Before","Peru",21
"GEN24_1005725","After","Indonesia",1
"GEN24_1005725","Before","Australia",2
"GEN24_1005726","Before","Australia",1
"GEN24_1005767","After","Australia",1
"GEN24_1005767","Before","Australia",3
"GEN24_1005768","After","Australia",1
"GEN24_1005768","Before","Australia",1
"GEN24_1005769","After","Singapore",4
"GEN24_1005769","Before","Australia",10
"GEN24_1005774","After","Australia",99
"GEN24_1005784","Before","Ireland",1
"GEN24_1005785","Before","Australia",21
"GEN24_1005823","After","Cook Islands",6
"GEN24_1005823","Before","Cook Islands",6
"GEN24_1005825","Before","Australia",3
"GEN24_1005842","After","Australia",5
"GEN24_1005866","After","Cook Islands",15
"GEN24_1005884","After","Australia",29
"GEN24_1005884","After","Philippines",29
"GEN24_1005884","After","Singapore",7
"GEN24_1005884","After","Viet Nam",29
"GEN24_1005897","After","China, People's Republic of",10
"GEN24_1005901","Before","Canada",29
"GEN24_1005913","After","United Arab Emirates",4
"GEN24_1005913","Before","Indonesia",4
"GEN24_1005913","Before","Thailand",3
"GEN24_1005913","Before","United Arab Emirates",5
"GEN24_1005913","Before","Viet Nam",4
"GEN24_1005914","Before","Japan",4
"GEN24_1005915","Before","Australia",9
"GEN24_1005917","Before","Australia",7
"GEN24_1005918","Before","Australia",17
"GEN24_1005919","Before","Australia",21
"GEN24_1005920","Before","United States of America",3
"GEN24_1005921","Before","United States of America",2
"GEN24_1005925","After","United States of America",1
"GEN24_1005925","Before","United States of America",2
"GEN24_1005926","After","United States of America",1
"GEN24_1005926","Before","United States of America",1
"GEN24_1005931","After","Singapore",3
"GEN24_1005931","Before","Australia",1
"GEN24_1005932","Before","Australia",24
"GEN24_1005936","After","Japan",3
"GEN24_1005936","Before","Australia",3
"GEN24_1005936","Before","Fiji",8
"GEN24_1005939","After","Australia",1
"GEN24_1005939","Before","Australia",1
"GEN24_1005942","After","Australia",1
"GEN24_1005942","Before","Australia",1
"GEN24_1005947","After","Australia",30
"GEN24_1005947","Before","Australia",60
"GEN24_1005980","After","Australia",7
"GEN24_1005980","Before","Australia",7
"GEN24_1005981","Before","French Polynesia",1
"GEN24_1005983","After","Australia",3
"GEN24_1005983","Before","Australia",3
"GEN24_1006003","Before","Australia",99
"GEN24_1006026","After","Australia",1
"GEN24_1006057","After","Australia",1
"GEN24_1006057","Before","Australia",1
"GEN24_1006074","Before","Germany",1
"GEN24_1006084","Before","Australia",99
"GEN24_1006094","Before","Australia",21
"GEN24_1006097","After","United States of America",1
"GEN24_1006097","Before","United States of America",1
"GEN24_1006122","After","Australia",15
"GEN24_1006122","Before","Canada",3
"GEN24_1006150","After","Malaysia",2
"GEN24_1006150","After","Thailand",5
"GEN24_1006150","Before","Indonesia",2
"GEN24_1006152","Before","Hong Kong (Special Administrative Region)",3
"GEN24_1006164","After","Turkey",1
"GEN24_1006164","Before","Kenya",21
"GEN24_1006164","Before","Rwanda",14
"GEN24_1006164","Before","Scotland",20
"GEN24_1006164","Before","Turkey",3
"GEN24_1006164","Before","Uganda",20
"GEN24_1006169","After","Australia",5
"GEN24_1006169","Before","Australia",5
"GEN24_1006177","After","Australia",10
"GEN24_1006177","Before","Australia",10
"GEN24_1006184","After","Singapore",1
"GEN24_1006184","Before","Singapore",3
"GEN24_1006205","After","Indonesia",5
"GEN24_1006205","After","Singapore",2
"GEN24_1006205","Before","Australia",70
"GEN24_1006235","Before","Australia",8
"GEN24_1006248","Before","Indonesia",11
"GEN24_1006260","Before","Australia",1
"GEN24_1006280","After","United States of America",7
"GEN24_1006280","Before","Korea, Republic of",1
"GEN24_1006284","Before","Australia",20
"GEN24_1006285","Before","French Polynesia",6
"GEN24_1006296","After","Australia",1
"GEN24_1006301","Before","Colombia",17
"GEN24_1006311","After","Australia",4
"GEN24_1006311","After","Singapore",2
"GEN24_1006314","After","Australia",5
"GEN24_1006314","Before","United States of America",30
"GEN24_1006320","After","Australia",2
"GEN24_1006320","Before","Australia",8
"GEN24_1006377","Before","Singapore",1
"GEN24_1006443","After","Australia",90
"GEN24_1006443","Before","Singapore",5
"GEN24_1006460","Before","Australia",10
"GEN24_1006460","Before","New Caledonia",10
"GEN24_1006460","Before","Thailand",14
"GEN24_1006460","Before","Viet Nam",9
"GEN24_1006497","After","United States of America",1
"GEN24_1006497","Before","Australia",29
"GEN24_1006498","Before","Australia",20
"GEN24_1006522","After","Australia",10
"GEN24_1006587","Before","Singapore",2
"GEN24_1006611","After","Australia",10
"GEN24_1006621","After","Australia",2
"GEN24_1006621","Before","Australia",15
"GEN24_1006637","Before","Australia",90
"GEN24_1006649","After","Singapore",2
"GEN24_1006649","Before","Germany",1
"GEN24_1006652","After","Singapore",5
"GEN24_1006655","Before","Korea, Republic of",3
"GEN24_1006674","After","Australia",4
"GEN24_1006679","Before","Australia",7
"GEN24_1006687","Before","Singapore",1
"GEN24_1006693","After","France",31
"GEN24_1006693","Before","New Caledonia",31
"GEN24_1006701","Before","Singapore",1
"GEN24_1006702","After","Australia",13
"GEN24_1006704","After","Australia",3
"GEN24_1006704","After","Nepal",4
"GEN24_1006704","Before","Canada",3
"GEN24_1006704","Before","French Polynesia",5
"GEN24_1006704","Before","United States of America",4
"GEN24_1006770","After","Australia",7
"GEN24_1006773","Before","Australia",10
"GEN24_1006795","After","Australia",5
"GEN24_1006795","Before","Australia",1
"GEN24_1006820","Before","Australia",1
"GEN24_1006820","Before","Kenya",14
"GEN24_1006820","Before","Qatar",1
"GEN24_1006828","After","Australia",1
"GEN24_1006836","After","Australia",4
"GEN24_1006854","After","Australia",1
"GEN24_1006881","After","Philippines",99
"GEN24_1006881","Before","Singapore",1
"GEN24_1006891","After","Australia",9
"GEN24_1006891","Before","Australia",9
"GEN24_1006928","After","Australia",4
"GEN24_1006944","After","Australia",11
"GEN24_1006944","Before","Australia",9
"GEN24_1007020","After","Singapore",1
"GEN24_1007020","Before","Singapore",1
"GEN24_1007092","After","Australia",28
"GEN24_1007092","Before","Fiji",15
"GEN24_1007113","After","Viet Nam",16
"GEN24_1007113","Before","Mexico",14
"GEN24_1007113","Before","United States of America",17
"GEN24_1007129","After","Singapore",2
"GEN24_1007132","Before","Philippines",34
"GEN24_1007155","After","Australia",11
"GEN24_1007210","After","Australia",12
"GEN24_1007210","Before","Mexico",9
"GEN24_1007215","Before","Australia",7
"GEN24_1007260","After","United States of America",1
"GEN24_1007275","After","Australia",10
"GEN24_1007293","After","Australia",7
"GEN24_1007293","Before","Australia",7
"GEN24_1007312","After","Samoa",7
"GEN24_1007312","Before","Samoa",7
"GEN24_1007329","After","Singapore",4
"GEN24_1007329","Before","Singapore",2
"GEN24_1007342","After","Australia",1
"GEN24_1007364","After","Australia",6
"GEN24_1007364","Before","Australia",5
"GEN24_1007367","Before","Australia",60
"GEN24_1007368","Before","Australia",99
"GEN24_1007413","After","United States of America",1
"GEN24_1007413","Before","Australia",10
"GEN24_1007418","After","Australia",7
"GEN24_1007422","Before","Canada",1
"GEN24_1007437","Before","Australia",31
"GEN24_1007485","After","Singapore",2
"GEN24_1007485","Before","Singapore",3
"GEN24_1007499","Before","United States of America",1
"GEN24_1007603","After","Singapore",1
"GEN24_1007603","Before","Singapore",1
"GEN24_1007638","After","Australia",2
"GEN24_1007643","Before","Australia",35
"GEN24_1007645","Before","United States of America",2
"GEN24_1007647","After","Australia",16
"GEN24_1007647","Before","United States of America",1
"GEN24_1007692","After","Indonesia",7
"GEN24_1007692","After","Singapore",3
"GEN24_1007699","After","Australia",1
"GEN24_1007699","Before","Australia",1
"GEN24_1007715","Before","Singapore",1
"GEN24_1007731","Before","Singapore",5
"GEN24_1007747","After","Fiji",6
"GEN24_1007757","Before","United Arab Emirates",1
"GEN24_1007779","After","Australia",2
"GEN24_1007779","Before","Australia",2
"GEN24_1007781","Before","Australia",2
"GEN24_1007783","After","Australia",30
"GEN24_1007793","After","Australia",7
"GEN24_1007793","Before","Australia",28
"GEN24_1007824","After","Australia",7
"GEN24_1007824","Before","Australia",7
"GEN24_1007857","Before","Australia",2
"GEN24_1007862","Before","Australia",5
"GEN24_1007875","After","Australia",6
"GEN24_1007917","After","Qatar",1
"GEN24_1007917","Before","Qatar",1
"GEN24_1007925","After","Singapore",99
"GEN24_1007925","Before","Singapore",90
"GEN24_1007930","After","Germany",10
"GEN24_1007930","Before","Germany",10
"GEN24_1007941","After","Argentina",6
"GEN24_1007941","After","Australia",5
"GEN24_1007941","After","Chile",6
"GEN24_1007996","After","Australia",7
"GEN24_1008021","Before","Australia",1
"GEN24_1008027","Before","Australia",9
"GEN24_1008068","Before","Australia",9
"GEN24_1008073","After","Canada",1
"GEN24_1008073","Before","Australia",31
"GEN24_1008073","Before","Canada",2
"GEN24_1008091","Before","Singapore",1
"GEN24_1008121","After","Australia",7
"GEN24_1008132","Before","Australia",14
"GEN24_1008132","Before","Thailand",29
"GEN24_1008160","Before","Australia",5
"GEN24_1008171","Before","Australia",1
"GEN24_1008175","After","Australia",1
"GEN24_1008175","Before","Australia",7
"GEN24_1008236","After","Australia",45
"GEN24_1008277","After","United Arab Emirates",4
"GEN24_1008277","Before","United Arab Emirates",1
"GEN24_1008288","Before","Australia",1
"GEN24_1008303","After","French Polynesia",6
"GEN24_1008303","After","Singapore",2
"GEN24_1008308","Before","Australia",3
"GEN24_1008310","Before","Australia",6
"GEN24_1008311","After","Australia",6
"GEN24_1008326","After","China, People's Republic of",80
"GEN24_1008326","Before","Australia",99
"GEN24_1008354","After","Germany",1
"GEN24_1008354","Before","Germany",1
"GEN24_1008368","Before","Australia",1
"GEN24_1008369","After","Australia",90
"GEN24_1008369","Before","Australia",90
"GEN24_1008403","After","Australia",1
"GEN24_1008403","Before","Australia",1
"GEN24_1008417","After","Australia",63
"GEN24_1008417","Before","Australia",48
"GEN24_1008427","After","Australia",99
"GEN24_1008427","Before","Australia",7
