"response_id","type","frequency"
"GEN24_1000426","Crime or theft","1 - Never"
"GEN24_1000426","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000426","Litter/waste on the streets","1 - Never"
"GEN24_1000426","Overcrowded sightseeing spot","Don't know/ Not applicable"
"GEN24_1000426","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000426","Rude behaviour from locals","1 - Never"
"GEN24_1000426","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000430","Crime or theft","1 - Never"
"GEN24_1000430","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000430","Litter/waste on the streets","1 - Never"
"GEN24_1000430","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000430","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000430","Rude behaviour from locals","1 - Never"
"GEN24_1000430","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000442","Crime or theft","1 - Never"
"GEN24_1000442","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000442","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000442","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000442","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000442","Rude behaviour from locals","1 - Never"
"GEN24_1000442","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000446","Crime or theft","1 - Never"
"GEN24_1000446","Dangerous driving, including speeding and drink driving","2 - Sometimes"
"GEN24_1000446","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000446","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000446","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000446","Rude behaviour from locals","1 - Never"
"GEN24_1000446","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000447","Crime or theft","1 - Never"
"GEN24_1000447","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000447","Litter/waste on the streets","1 - Never"
