"response_id","drive_yourself","driving_information"
"GEN24_1000426","Yes","I did not receive any information"
"GEN24_1000430","Yes","I did not receive any information"
"GEN24_1000442","No",NA
"GEN24_1000446","Yes","While in New Zealand"
"GEN24_1000447","Yes","I did not receive any information"
"GEN24_1000456","Yes","Before arriving in New Zealand"
"GEN24_1000460","Yes","I did not receive any information"
"GEN24_1000468","Yes","I did not receive any information"
"GEN24_1000472","Yes","I did not receive any information"
"GEN24_1000474","Yes","While in New Zealand"
"GEN24_1000476","Yes","I did not receive any information"
"GEN24_1000481","No",NA
"GEN24_1000484","Yes","Before arriving in New Zealand"
"GEN24_1000484","Yes","While in New Zealand"
"GEN24_1000485","No",NA
"GEN24_1000488","Yes","While in New Zealand"
"GEN24_1000497","No",NA
"GEN24_1000502","No",NA
"GEN24_1000508","Yes","I did not receive any information"
"GEN24_1000510","Yes","I did not receive any information"
"GEN24_1000511","No",NA
"GEN24_1000518","No",NA
"GEN24_1000521","No",NA
"GEN24_1000522","No",NA
"GEN24_1000523","Yes","Before arriving in New Zealand"
"GEN24_1000524","No",NA
"GEN24_1000534","No",NA
"GEN24_1000535","Yes","I did not receive any information"
"GEN24_1000536","No",NA
"GEN24_1000538","No",NA
"GEN24_1000540","Yes","I did not receive any information"
"GEN24_1000542","Yes","While in New Zealand"
"GEN24_1000543","No",NA
"GEN24_1000566","Yes","I did not receive any information"
"GEN24_1000571","Yes","I did not receive any information"
"GEN24_1000574","Yes","I did not receive any information"
"GEN24_1000576","Yes","I did not receive any information"
"GEN24_1000581","No",NA
"GEN24_1000582","Yes","I did not receive any information"
"GEN24_1000589","Yes","I did not receive any information"
"GEN24_1000590","No",NA
"GEN24_1000609","No",NA
"GEN24_1000611","Yes","I did not receive any information"
"GEN24_1000615","No",NA
"GEN24_1000616","Yes","I did not receive any information"
"GEN24_1000621","No",NA
"GEN24_1000622","No",NA
"GEN24_1000624","Yes","Before arriving in New Zealand"
"GEN24_1000625","Yes","While in New Zealand"
"GEN24_1000626","Yes","I did not receive any information"
"GEN24_1000637","Yes","I did not receive any information"
"GEN24_1000649","Yes","Before arriving in New Zealand"
"GEN24_1000649","Yes","While in New Zealand"
"GEN24_1000650","Yes","While in New Zealand"
"GEN24_1000653","Yes","While in New Zealand"
"GEN24_1000655","No",NA
"GEN24_1000660","Yes","I did not receive any information"
"GEN24_1000662","No",NA
"GEN24_1000664","Yes","I did not receive any information"
"GEN24_1000669","Yes","I did not receive any information"
"GEN24_1000671","No",NA
"GEN24_1000674","No",NA
"GEN24_1000676","Yes","I did not receive any information"
"GEN24_1000677","Yes","Before arriving in New Zealand"
"GEN24_1000691","No",NA
"GEN24_1000693","Yes","I did not receive any information"
"GEN24_1000697","Yes","I did not receive any information"
"GEN24_1000700","Yes","While in New Zealand"
"GEN24_1000706","Yes","I did not receive any information"
"GEN24_1000708","Yes","Before arriving in New Zealand"
"GEN24_1000708","Yes","While in New Zealand"
"GEN24_1000711","Yes","Before arriving in New Zealand"
"GEN24_1000713","Yes","While in New Zealand"
"GEN24_1000718","No",NA
"GEN24_1000720","Yes","I did not receive any information"
"GEN24_1000729","Yes","Before arriving in New Zealand"
"GEN24_1000731","Yes","I did not receive any information"
"GEN24_1000739","Yes","While in New Zealand"
"GEN24_1000746","Yes","While in New Zealand"
"GEN24_1000748","Yes","While in New Zealand"
