"response_id","travelled_with"
"GEN24_1000426","Child/children aged under 15"
"GEN24_1000426","My husband, wife or partner"
"GEN24_1000430","My husband, wife or partner"
"GEN24_1000442","No one, I was on my own"
"GEN24_1000443","My husband, wife or partner"
"GEN24_1000443","Other adult(s) who are not family / relatives"
"GEN24_1000446","Child/children aged 15 or older"
"GEN24_1000446","My husband, wife or partner"
"GEN24_1000447","My husband, wife or partner"
"GEN24_1000456","Child/children aged under 15"
"GEN24_1000456","My husband, wife or partner"
"GEN24_1000460","My husband, wife or partner"
"GEN24_1000468","My husband, wife or partner"
"GEN24_1000472","Child/children aged under 15"
"GEN24_1000472","My husband, wife or partner"
"GEN24_1000474","My husband, wife or partner"
"GEN24_1000474","Other adult family / relative"
"GEN24_1000476","My husband, wife or partner"
"GEN24_1000481","Child/children aged 15 or older"
"GEN24_1000484","Child/children aged 15 or older"
"GEN24_1000484","My husband, wife or partner"
"GEN24_1000485","Child/children aged 15 or older"
"GEN24_1000485","Child/children aged under 15"
"GEN24_1000485","My husband, wife or partner"
"GEN24_1000488","My husband, wife or partner"
"GEN24_1000488","Other adult family / relative"
"GEN24_1000497","My husband, wife or partner"
"GEN24_1000498","No one, I was on my own"
"GEN24_1000502","My husband, wife or partner"
"GEN24_1000508","No one, I was on my own"
"GEN24_1000510","My husband, wife or partner"
"GEN24_1000511","No one, I was on my own"
"GEN24_1000512","Child/children aged under 15"
"GEN24_1000514","My husband, wife or partner"
"GEN24_1000518","Child/children aged under 15"
"GEN24_1000518","My husband, wife or partner"
"GEN24_1000518","Other adult family / relative"
"GEN24_1000521","Child/children aged under 15"
"GEN24_1000521","My husband, wife or partner"
"GEN24_1000522","No one, I was on my own"
"GEN24_1000523","Other adult family / relative"
"GEN24_1000524","No one, I was on my own"
"GEN24_1000528","Other adult family / relative"
"GEN24_1000530","Other adult(s) who are not family / relatives"
"GEN24_1000534","Other adult family / relative"
"GEN24_1000535","Child/children aged under 15"
"GEN24_1000535","My husband, wife or partner"
"GEN24_1000536","Child/children aged 15 or older"
"GEN24_1000538","Other adult family / relative"
"GEN24_1000539","No one, I was on my own"
"GEN24_1000540","No one, I was on my own"
"GEN24_1000542","My husband, wife or partner"
"GEN24_1000543","No one, I was on my own"
"GEN24_1000549","My husband, wife or partner"
"GEN24_1000558","My husband, wife or partner"
"GEN24_1000566","Child/children aged 15 or older"
"GEN24_1000571","My husband, wife or partner"
"GEN24_1000571","Other adult(s) who are not family / relatives"
"GEN24_1000574","My husband, wife or partner"
"GEN24_1000575","Child/children aged 15 or older"
"GEN24_1000576","No one, I was on my own"
"GEN24_1000581","My husband, wife or partner"
"GEN24_1000582","My husband, wife or partner"
"GEN24_1000589","Child/children aged under 15"
"GEN24_1000589","My husband, wife or partner"
"GEN24_1000590","Other adult family / relative"
"GEN24_1000609","Child/children aged under 15"
"GEN24_1000609","My husband, wife or partner"
"GEN24_1000611","My husband, wife or partner"
"GEN24_1000612","Child/children aged 15 or older"
"GEN24_1000614","Other adult(s) who are not family / relatives"
"GEN24_1000615","My husband, wife or partner"
"GEN24_1000615","Other adult(s) who are not family / relatives"
"GEN24_1000616","Child/children aged 15 or older"
"GEN24_1000616","Child/children aged under 15"
"GEN24_1000616","My husband, wife or partner"
"GEN24_1000621","Child/children aged 15 or older"
"GEN24_1000621","My husband, wife or partner"
"GEN24_1000621","Other adult family / relative"
