==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
1   0.0169825934      0 1.0000000 1.0000636 0.01983445
2   0.0038292736      1 0.9830174 0.9831271 0.01932489
3   0.0034350124      2 0.9791881 0.9812294 0.01928553
4   0.0025119142      3 0.9757531 0.9800935 0.01925505
5   0.0021114015      4 0.9732412 0.9770011 0.01908303
6   0.0020391574      5 0.9711298 0.9765326 0.01905749
7   0.0019728015      6 0.9690906 0.9760588 0.01904151
8   0.0015957001      7 0.9671178 0.9756007 0.01902048
9   0.0015736109      8 0.9655221 0.9754128 0.01896151
10  0.0013351430      9 0.9639485 0.9749435 0.01894435
11  0.0012328110     11 0.9612782 0.9785436 0.01898118
12  0.0012278843     12 0.9600454 0.9802851 0.01900228
13  0.0011772824     14 0.9575897 0.9817018 0.01901890
14  0.0011772476     17 0.9540578 0.9826519 0.01904254
15  0.0011570506     18 0.9528806 0.9839048 0.01905333
16  0.0011565521     19 0.9517235 0.9839492 0.01904113
17  0.0010647226     20 0.9505670 0.9860811 0.01906329
18  0.0010477235     23 0.9473728 0.9874776 0.01906814
19  0.0010303782     24 0.9463251 0.9882726 0.01907381
20  0.0009757014     26 0.9442643 0.9900572 0.01909497
21  0.0009488516     28 0.9423129 0.9957380 0.01919170
22  0.0009371469     33 0.9375509 0.9974103 0.01920127
23  0.0009257707     34 0.9366137 0.9980440 0.01919124
24  0.0008629162     35 0.9356879 0.9998069 0.01919580
25  0.0008568549     36 0.9348250 1.0033595 0.01923265
26  0.0008272231     42 0.9292172 1.0037890 0.01923847
27  0.0008150785     47 0.9250811 1.0048893 0.01923996
28  0.0007984325     59 0.9150289 1.0060915 0.01928673
29  0.0007495985     61 0.9134320 1.0100983 0.01933872
30  0.0007144437     64 0.9111832 1.0196746 0.01938688
31  0.0007112418     68 0.9083111 1.0225051 0.01940866
32  0.0007100516     69 0.9075999 1.0227213 0.01940618
33  0.0007054462     70 0.9068898 1.0236412 0.01941540
34  0.0007028044     71 0.9061844 1.0242693 0.01941892
35  0.0006956666     72 0.9054816 1.0256366 0.01942934
36  0.0006932647     73 0.9047859 1.0276061 0.01946006
