response_id,environment_availability_of_public_facilities_toilets_rubbish_bins_etc,environment_feeling_of_safety,environment_feeling_welcomed,environment_natural_scenery_wilderness,environment_protection_of_natural_resources,environment_protection_of_wildlife_whales_penguins_albatross_kiwi_etc,environment_quality_of_drinking_water,environment_quality_of_flowing_water_rivers_streams_sea,environment_quality_of_the_air
GEN24_1000426,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1000430,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,NA,4 - Good,4 - Good,4 - Good
GEN24_1000442,2 - Poor,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,3 - Neither good nor poor,4 - Good
GEN24_1000446,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1000447,4 - Good,NA,4 - Good,4 - Good,NA,NA,4 - Good,4 - Good,NA
GEN24_1000456,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1000460,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good
GEN24_1000468,NA,NA,5 - Very Good,NA,NA,NA,5 - Very Good,NA,NA
GEN24_1000472,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1000474,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1000476,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1000481,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
