response_id,none_of_these,see_maori_artefacts_art_or_crafts_in_an_exhibition,visit_a_maori_marae_a_maori_meeting_place,watch_a_live_maori_performance,see_maori_art_or_crafts_being_created,some_other_maori_cultural_activity,visit_a_maori_family_in_their_home,eat_maori_traditional_food
GEN24_1000426,1,0,0,0,0,0,0,0
GEN24_1000430,1,0,0,0,0,0,0,0
GEN24_1000442,1,0,0,0,0,0,0,0
GEN24_1000446,1,0,0,0,0,0,0,0
GEN24_1000447,1,0,0,0,0,0,0,0
GEN24_1000456,1,0,0,0,0,0,0,0
GEN24_1000460,1,0,0,0,0,0,0,0
GEN24_1000468,1,0,0,0,0,0,0,0
GEN24_1000472,1,0,0,0,0,0,0,0
GEN24_1000474,0,1,0,0,0,0,0,0
GEN24_1000476,1,0,0,0,0,0,0,0
GEN24_1000481,1,0,0,0,0,0,0,0
GEN24_1000484,0,1,1,0,0,0,0,0
GEN24_1000485,0,1,1,1,0,0,0,0
GEN24_1000488,1,0,0,0,0,0,0,0
GEN24_1000497,1,0,0,0,0,0,0,0
GEN24_1000498,0,0,0,0,1,1,0,0
GEN24_1000502,1,0,0,0,0,0,0,0
GEN24_1000508,1,0,0,0,0,0,0,0
GEN24_1000510,1,0,0,0,0,0,0,0
GEN24_1000511,1,0,0,0,0,0,0,0
GEN24_1000512,1,0,0,0,0,0,0,0
GEN24_1000518,0,1,1,0,0,1,0,0
GEN24_1000521,1,0,0,0,0,0,0,0
GEN24_1000522,1,0,0,0,0,0,0,0
GEN24_1000523,1,0,0,0,0,0,0,0
GEN24_1000524,1,0,0,0,0,0,0,0
GEN24_1000528,1,0,0,0,0,0,0,0
GEN24_1000530,1,0,0,0,0,0,0,0
GEN24_1000534,1,0,0,0,0,0,0,0
GEN24_1000535,1,0,0,0,0,0,0,0
GEN24_1000536,0,0,0,1,0,1,0,0
GEN24_1000538,1,0,0,0,0,0,0,0
GEN24_1000539,1,0,0,0,0,0,0,0
GEN24_1000540,1,0,0,0,0,0,0,0
GEN24_1000542,1,0,0,0,0,0,0,0
GEN24_1000543,1,0,0,0,0,0,0,0
GEN24_1000558,1,0,0,0,0,0,0,0
GEN24_1000566,1,0,0,0,0,0,0,0
GEN24_1000571,1,0,0,0,0,0,0,0
GEN24_1000574,1,0,0,0,0,0,0,0
GEN24_1000576,1,0,0,0,0,0,0,0
GEN24_1000581,1,0,0,0,0,0,0,0
GEN24_1000582,1,0,0,0,0,0,0,0
GEN24_1000589,1,0,0,0,0,0,0,0
GEN24_1000590,1,0,0,0,0,0,0,0
GEN24_1000609,1,0,0,0,0,0,0,0
GEN24_1000611,0,1,0,0,0,0,0,0
GEN24_1000612,1,0,0,0,0,0,0,0
GEN24_1000615,1,0,0,0,0,0,0,0
GEN24_1000616,1,0,0,0,0,0,0,0
GEN24_1000621,0,1,1,0,0,0,0,0
GEN24_1000622,1,0,0,0,0,0,0,0
GEN24_1000624,1,0,0,0,0,0,0,0
GEN24_1000625,1,0,0,0,0,0,0,0
GEN24_1000626,1,0,0,0,0,0,0,0
GEN24_1000632,1,0,0,0,0,0,0,0
GEN24_1000633,1,0,0,0,0,0,0,0
GEN24_1000637,1,0,0,0,0,0,0,0
GEN24_1000643,1,0,0,0,0,0,0,0
GEN24_1000649,1,0,0,0,0,0,0,0
GEN24_1000650,1,0,0,0,0,0,0,0
GEN24_1000653,1,0,0,0,0,0,0,0
GEN24_1000655,1,0,0,0,0,0,0,0
GEN24_1000660,1,0,0,0,0,0,0,0
GEN24_1000662,1,0,0,0,0,0,0,0
GEN24_1000663,1,0,0,0,0,0,0,0
GEN24_1000664,1,0,0,0,0,0,0,0
GEN24_1000669,1,0,0,0,0,0,0,0
GEN24_1000671,1,0,0,0,0,0,0,0
GEN24_1000674,1,0,0,0,0,0,0,0
GEN24_1000676,1,0,0,0,0,0,0,0
GEN24_1000677,1,0,0,0,0,0,0,0
GEN24_1000691,1,0,0,0,0,0,0,0
GEN24_1000693,1,0,0,0,0,0,0,0
GEN24_1000697,0,0,0,0,0,0,1,0
GEN24_1000700,1,0,0,0,0,0,0,0
GEN24_1000706,0,0,1,1,0,0,0,1
GEN24_1000708,1,0,0,0,0,0,0,0
GEN24_1000711,1,0,0,0,0,0,0,0
GEN24_1000713,1,0,0,0,0,0,0,0
GEN24_1000718,1,0,0,0,0,0,0,0
GEN24_1000719,1,0,0,0,0,0,0,0
GEN24_1000720,1,0,0,0,0,0,0,0
GEN24_1000729,1,0,0,0,0,0,0,0
GEN24_1000731,1,0,0,0,0,0,0,0
GEN24_1000736,1,0,0,0,0,0,0,0
GEN24_1000739,1,0,0,0,0,0,0,0
GEN24_1000746,1,0,0,0,0,0,0,0
GEN24_1000748,1,0,0,0,0,0,0,0
GEN24_1000760,0,1,0,0,0,0,0,0
GEN24_1000766,1,0,0,0,0,0,0,0
GEN24_1000778,1,0,0,0,0,0,0,0
GEN24_1000781,0,1,0,0,0,1,1,0
GEN24_1000783,0,0,0,0,0,0,1,0
GEN24_1000788,0,1,1,0,0,0,0,0
GEN24_1000789,1,0,0,0,0,0,0,0
GEN24_1000790,1,0,0,0,0,0,0,0
GEN24_1000791,1,0,0,0,0,0,0,0
GEN24_1000792,1,0,0,0,0,0,0,0
GEN24_1000793,1,0,0,0,0,0,0,0
GEN24_1000797,1,0,0,0,0,0,0,0
GEN24_1000804,1,0,0,0,0,0,0,0
GEN24_1000807,1,0,0,0,0,0,0,0
GEN24_1000821,1,0,0,0,0,0,0,0
GEN24_1000823,0,0,0,0,0,0,0,1
GEN24_1000824,1,0,0,0,0,0,0,0
GEN24_1000826,1,0,0,0,0,0,0,0
GEN24_1000828,1,0,0,0,0,0,0,0
GEN24_1000829,1,0,0,0,0,0,0,0
GEN24_1000837,1,0,0,0,0,0,0,0
GEN24_1000844,1,0,0,0,0,0,0,0
GEN24_1000852,1,0,0,0,0,0,0,0
GEN24_1000853,1,0,0,0,0,0,0,0
GEN24_1000857,1,0,0,0,0,0,0,0
GEN24_1000864,0,1,1,1,0,0,0,1
GEN24_1000865,0,0,1,0,1,1,0,1
GEN24_1000868,1,0,0,0,0,0,0,0
GEN24_1000869,1,0,0,0,0,0,0,0
GEN24_1000870,1,0,0,0,0,0,0,0
GEN24_1000871,0,1,0,0,0,0,0,0
GEN24_1000873,0,1,1,1,1,0,0,1
GEN24_1000877,1,0,0,0,0,0,0,0
GEN24_1000879,1,0,0,0,0,0,0,0
GEN24_1000884,0,0,0,1,0,0,0,0
GEN24_1000890,1,0,0,0,0,0,0,0
GEN24_1000900,1,0,0,0,0,0,0,0
GEN24_1000902,1,0,0,0,0,0,0,0
GEN24_1000904,1,0,0,0,0,0,0,0
GEN24_1000907,1,0,0,0,0,0,0,0
GEN24_1000916,1,0,0,0,0,0,0,0
GEN24_1000918,1,0,0,0,0,0,0,0
GEN24_1000927,1,0,0,0,0,0,0,0
GEN24_1000928,1,0,0,0,0,0,0,0
GEN24_1000937,1,0,0,0,0,0,0,0
GEN24_1000945,1,0,0,0,0,0,0,0
GEN24_1000948,1,0,0,0,0,0,0,0
GEN24_1000950,1,0,0,0,0,0,0,0
GEN24_1000963,1,0,0,0,0,0,0,0
GEN24_1000964,1,0,0,0,0,0,0,0
GEN24_1000969,1,0,0,0,0,0,0,0
GEN24_1000970,1,0,0,0,0,0,0,0
GEN24_1000977,1,0,0,0,0,0,0,0
GEN24_1000980,0,0,1,0,0,1,0,0
GEN24_1000982,1,0,0,0,0,0,0,0
GEN24_1000984,1,0,0,0,0,0,0,0
GEN24_1000986,1,0,0,0,0,0,0,0
GEN24_1000989,1,0,0,0,0,0,0,0
GEN24_1000991,1,0,0,0,0,0,0,0
GEN24_1000992,0,0,1,1,0,0,0,1
GEN24_1000998,1,0,0,0,0,0,0,0
GEN24_1001001,1,0,0,0,0,0,0,0
GEN24_1001003,0,0,1,0,0,0,0,0
GEN24_1001004,1,0,0,0,0,0,0,0
GEN24_1001011,1,0,0,0,0,0,0,0
GEN24_1001018,1,0,0,0,0,0,0,0
GEN24_1001020,1,0,0,0,0,0,0,0
GEN24_1001021,0,0,0,0,0,1,0,0
GEN24_1001023,0,1,0,0,0,0,0,0
GEN24_1001027,1,0,0,0,0,0,0,0
GEN24_1001038,0,0,0,0,0,0,1,0
GEN24_1001043,0,1,1,0,0,0,0,1
GEN24_1001047,0,1,0,0,1,0,0,0
GEN24_1001056,1,0,0,0,0,0,0,0
GEN24_1001059,1,0,0,0,0,0,0,0
GEN24_1001060,1,0,0,0,0,0,0,0
GEN24_1001061,1,0,0,0,0,0,0,0
GEN24_1001065,1,0,0,0,0,0,0,0
GEN24_1001068,1,0,0,0,0,0,0,0
GEN24_1001069,1,0,0,0,0,0,0,0
GEN24_1001074,1,0,0,0,0,0,0,0
GEN24_1001077,1,0,0,0,0,0,0,0
GEN24_1001083,1,0,0,0,0,0,0,0
GEN24_1001088,1,0,0,0,0,0,0,0
GEN24_1001089,0,1,1,0,0,0,0,0
GEN24_1001090,1,0,0,0,0,0,0,0
GEN24_1001094,1,0,0,0,0,0,0,0
GEN24_1001100,0,0,0,1,0,0,0,0
GEN24_1001106,1,0,0,0,0,0,0,0
GEN24_1001111,0,0,0,0,0,0,1,0
GEN24_1001112,1,0,0,0,0,0,0,0
GEN24_1001113,0,1,1,1,1,0,0,1
GEN24_1001116,1,0,0,0,0,0,0,0
GEN24_1001119,1,0,0,0,0,0,0,0
GEN24_1001120,1,0,0,0,0,0,0,0
GEN24_1001125,1,0,0,0,0,0,0,0
GEN24_1001130,1,0,0,0,0,0,0,0
GEN24_1001135,0,1,0,0,0,0,0,0
GEN24_1001139,1,0,0,0,0,0,0,0
GEN24_1001148,1,0,0,0,0,0,0,0
GEN24_1001151,1,0,0,0,0,0,0,0
GEN24_1001158,1,0,0,0,0,0,0,0
GEN24_1001160,0,0,1,0,0,0,0,0
GEN24_1001161,1,0,0,0,0,0,0,0
GEN24_1001164,1,0,0,0,0,0,0,0
GEN24_1001168,1,0,0,0,0,0,0,0
GEN24_1001169,0,0,0,1,0,1,0,1
GEN24_1001170,0,1,0,0,0,0,0,0
GEN24_1001176,1,0,0,0,0,0,0,0
GEN24_1001178,1,0,0,0,0,0,0,0
GEN24_1001182,1,0,0,0,0,0,0,0
GEN24_1001183,0,1,1,0,1,0,0,0
GEN24_1001187,0,0,1,0,0,1,1,1
GEN24_1001188,1,0,0,0,0,0,0,0
GEN24_1001191,0,1,0,1,0,0,0,0
GEN24_1001192,1,0,0,0,0,0,0,0
GEN24_1001193,1,0,0,0,0,0,0,0
GEN24_1001201,0,0,1,0,0,0,0,0
GEN24_1001209,1,0,0,0,0,0,0,0
GEN24_1001221,1,0,0,0,0,0,0,0
GEN24_1001223,1,0,0,0,0,0,0,0
