response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1000426,Agree,NA,NA
GEN24_1000430,Don't know / Not sure,NA,NA
GEN24_1000442,Disagree,NA,NA
GEN24_1000446,Don't know / Not sure,NA,NA
GEN24_1000447,Disagree,NA,NA
GEN24_1000456,Agree,NA,NA
GEN24_1000460,Disagree,NA,NA
GEN24_1000468,Disagree,NA,NA
GEN24_1000472,Agree,NA,NA
GEN24_1000474,Agree,Agree,Agree
GEN24_1000476,Agree,NA,NA
GEN24_1000481,Disagree,NA,NA
GEN24_1000484,Agree,Agree,Agree
GEN24_1000485,Agree,Agree,Agree
GEN24_1000488,Agree,NA,NA
GEN24_1000497,Agree,NA,NA
GEN24_1000498,Agree,Agree,Agree
GEN24_1000502,Disagree,NA,NA
GEN24_1000508,Agree,NA,NA
GEN24_1000510,Disagree,NA,NA
GEN24_1000511,Don't know / Not sure,NA,NA
GEN24_1000512,Don't know / Not sure,NA,NA
GEN24_1000518,Agree,Agree,Agree
GEN24_1000521,Agree,NA,NA
GEN24_1000522,Don't know / Not sure,NA,NA
GEN24_1000523,Agree,NA,NA
GEN24_1000524,Agree,NA,NA
GEN24_1000528,Disagree,NA,NA
GEN24_1000530,Agree,NA,NA
GEN24_1000534,Don't know / Not sure,NA,NA
GEN24_1000535,Disagree,NA,NA
GEN24_1000536,Agree,Agree,Agree
GEN24_1000538,Agree,NA,NA
GEN24_1000539,Don't know / Not sure,NA,NA
GEN24_1000540,Don't know / Not sure,NA,NA
GEN24_1000542,Don't know / Not sure,NA,NA
GEN24_1000543,Don't know / Not sure,NA,NA
GEN24_1000558,Agree,NA,NA
GEN24_1000566,Don't know / Not sure,NA,NA
GEN24_1000571,Disagree,NA,NA
GEN24_1000574,Don't know / Not sure,NA,NA
GEN24_1000576,Don't know / Not sure,NA,NA
GEN24_1000581,Agree,NA,NA
GEN24_1000582,Disagree,NA,NA
GEN24_1000589,Disagree,NA,NA
GEN24_1000590,Agree,NA,NA
GEN24_1000609,Don't know / Not sure,NA,NA
GEN24_1000611,Agree,Agree,Agree
GEN24_1000612,Disagree,NA,NA
GEN24_1000615,Agree,NA,NA
GEN24_1000616,Disagree,NA,NA
GEN24_1000621,Agree,Agree,Agree
GEN24_1000622,Agree,NA,NA
GEN24_1000624,Don't know / Not sure,NA,NA
GEN24_1000625,Agree,NA,NA
GEN24_1000626,Agree,NA,NA
GEN24_1000632,Don't know / Not sure,NA,NA
GEN24_1000633,Don't know / Not sure,NA,NA
GEN24_1000637,Disagree,NA,NA
GEN24_1000643,Disagree,NA,NA
GEN24_1000649,Agree,NA,NA
GEN24_1000650,Agree,NA,NA
GEN24_1000653,Don't know / Not sure,NA,NA
