response_id,mobility_hearing_even_if_using_a_hearing_device,mobility_remembering_or_concentrating,mobility_seeing_even_when_wearing_glasses,mobility_walking_or_climbing_stairs
GEN24_1000426,4,4,4,4
GEN24_1000430,4,4,4,4
GEN24_1000442,4,4,4,4
GEN24_1000446,4,4,4,4
GEN24_1000447,4,4,4,4
GEN24_1000456,4,4,4,4
GEN24_1000460,4,4,4,4
GEN24_1000468,4,3,4,4
GEN24_1000472,4,4,3,4
GEN24_1000474,4,4,4,4
GEN24_1000476,3,4,3,2
GEN24_1000481,4,4,4,4
GEN24_1000484,4,4,4,4
GEN24_1000485,4,4,4,4
GEN24_1000488,4,4,4,4
GEN24_1000497,4,4,4,4
GEN24_1000498,4,4,4,4
GEN24_1000502,4,4,4,4
GEN24_1000508,4,4,4,4
GEN24_1000510,4,4,4,4
GEN24_1000511,4,4,4,4
GEN24_1000512,4,4,4,4
GEN24_1000518,4,4,4,4
GEN24_1000521,4,4,4,4
GEN24_1000522,4,4,4,4
GEN24_1000523,4,4,2,4
GEN24_1000524,4,4,4,2
GEN24_1000528,4,4,4,4
GEN24_1000530,4,4,4,4
GEN24_1000534,4,4,4,4
GEN24_1000535,4,4,4,4
GEN24_1000536,3,4,4,2
GEN24_1000538,4,4,4,4
GEN24_1000539,4,4,4,4
GEN24_1000540,4,3,2,4
GEN24_1000542,4,4,4,4
GEN24_1000543,4,3,3,4
GEN24_1000549,4,4,3,3
GEN24_1000558,4,4,4,1
GEN24_1000566,4,4,4,4
GEN24_1000571,4,4,4,4
GEN24_1000574,4,4,4,4
GEN24_1000576,4,4,4,4
GEN24_1000581,4,4,4,4
GEN24_1000582,1,3,2,3
GEN24_1000589,4,4,4,4
GEN24_1000590,4,4,4,4
GEN24_1000609,4,4,4,4
GEN24_1000611,4,4,4,4
GEN24_1000612,4,4,4,4
GEN24_1000614,4,4,2,4
GEN24_1000615,4,4,4,3
GEN24_1000616,4,4,4,4
GEN24_1000621,4,4,4,3
GEN24_1000622,4,4,4,4
GEN24_1000624,4,4,4,3
GEN24_1000625,4,4,4,4
GEN24_1000626,4,4,4,3
GEN24_1000632,4,4,4,4
GEN24_1000633,4,4,3,4
GEN24_1000637,4,4,4,4
GEN24_1000643,4,4,4,4
GEN24_1000649,4,3,3,4
GEN24_1000650,4,4,3,4
GEN24_1000653,4,4,4,4
GEN24_1000655,4,4,4,4
GEN24_1000660,4,4,4,4
GEN24_1000662,4,4,4,4
GEN24_1000663,3,3,3,4
GEN24_1000664,4,4,4,4
GEN24_1000669,4,4,4,4
GEN24_1000671,4,4,4,3
GEN24_1000674,3,4,4,4
GEN24_1000676,4,3,4,4
GEN24_1000677,4,4,4,4
GEN24_1000691,4,4,4,4
GEN24_1000693,4,4,3,4
GEN24_1000697,4,4,4,4
GEN24_1000700,4,4,4,4
GEN24_1000706,4,4,4,4
GEN24_1000708,4,4,4,4
GEN24_1000711,4,4,4,3
GEN24_1000713,4,4,4,4
GEN24_1000718,4,3,4,4
GEN24_1000719,4,4,4,4
GEN24_1000720,4,4,3,4
GEN24_1000729,4,4,3,4
GEN24_1000731,4,4,4,4
GEN24_1000736,4,4,4,4
GEN24_1000739,4,4,4,4
GEN24_1000746,4,4,4,4
GEN24_1000748,3,4,4,4
GEN24_1000760,4,4,4,4
GEN24_1000766,4,4,4,4
GEN24_1000778,4,4,4,4
GEN24_1000781,4,4,4,4
GEN24_1000783,3,3,3,4
GEN24_1000788,3,2,3,4
GEN24_1000789,4,4,4,4
GEN24_1000790,4,4,4,4
GEN24_1000791,4,3,4,3
GEN24_1000792,4,4,4,4
GEN24_1000793,4,4,4,4
GEN24_1000797,3,4,2,4
GEN24_1000804,4,4,4,4
GEN24_1000807,4,4,4,4
GEN24_1000821,4,4,4,4
GEN24_1000823,4,4,4,4
GEN24_1000824,4,4,4,4
GEN24_1000826,4,4,4,4
GEN24_1000828,4,4,4,4
GEN24_1000829,4,4,4,4
GEN24_1000837,4,4,4,4
GEN24_1000844,4,4,4,4
GEN24_1000852,4,4,4,4
GEN24_1000853,4,4,4,4
GEN24_1000857,4,4,4,4
GEN24_1000864,4,4,4,4
GEN24_1000865,4,4,4,4
GEN24_1000868,4,4,3,4
GEN24_1000869,4,3,4,4
GEN24_1000870,4,4,4,3
GEN24_1000871,4,4,4,4
GEN24_1000873,4,4,4,4
GEN24_1000877,4,4,4,4
GEN24_1000879,4,4,4,4
GEN24_1000884,4,4,4,3
GEN24_1000890,4,4,4,4
GEN24_1000900,4,4,4,4
GEN24_1000902,4,4,4,4
GEN24_1000904,4,4,4,4
GEN24_1000907,4,4,4,4
GEN24_1000916,4,4,4,4
GEN24_1000918,4,3,3,4
GEN24_1000927,4,4,4,4
GEN24_1000928,4,4,4,4
GEN24_1000937,3,4,4,3
GEN24_1000938,4,4,4,4
GEN24_1000945,4,4,4,4
GEN24_1000948,4,4,4,4
GEN24_1000950,3,4,4,4
GEN24_1000963,4,4,4,4
GEN24_1000964,4,4,3,4
GEN24_1000969,4,4,4,3
GEN24_1000970,4,4,3,4
GEN24_1000977,4,4,4,4
GEN24_1000980,4,4,3,4
GEN24_1000982,4,4,4,4
GEN24_1000984,4,3,3,4
GEN24_1000986,4,4,4,4
GEN24_1000989,4,4,4,3
GEN24_1000991,4,4,3,4
GEN24_1000992,3,3,4,3
GEN24_1000998,4,4,4,4
GEN24_1001001,4,4,4,4
GEN24_1001003,3,4,4,4
GEN24_1001004,4,4,4,4
GEN24_1001011,4,4,4,4
GEN24_1001018,3,4,4,4
GEN24_1001020,4,4,4,4
GEN24_1001021,4,4,4,4
GEN24_1001023,4,4,4,4
GEN24_1001027,4,4,4,4
GEN24_1001038,4,4,3,4
GEN24_1001043,4,4,4,2
GEN24_1001047,2,4,4,4
GEN24_1001056,4,4,4,4
GEN24_1001059,4,4,4,4
GEN24_1001060,4,4,4,4
GEN24_1001061,4,4,4,4
GEN24_1001065,4,3,3,4
GEN24_1001068,3,2,4,4
GEN24_1001069,4,4,4,3
GEN24_1001074,4,3,4,4
GEN24_1001077,4,4,4,4
GEN24_1001083,4,4,4,4
GEN24_1001088,4,4,4,4
GEN24_1001089,4,4,4,4
GEN24_1001090,4,3,4,4
GEN24_1001094,4,4,4,4
GEN24_1001100,4,4,4,4
GEN24_1001106,4,4,4,4
GEN24_1001111,3,4,3,4
GEN24_1001112,4,4,4,4
GEN24_1001113,4,4,4,4
GEN24_1001116,4,4,4,4
GEN24_1001119,4,4,4,4
GEN24_1001120,4,4,4,4
GEN24_1001125,4,4,4,4
GEN24_1001130,4,4,4,3
GEN24_1001135,4,4,4,4
GEN24_1001139,4,4,4,4
GEN24_1001148,3,4,4,4
GEN24_1001151,4,4,4,4
GEN24_1001158,3,4,4,4
GEN24_1001160,4,4,4,4
GEN24_1001161,4,4,4,4
GEN24_1001164,4,4,4,4
GEN24_1001168,4,4,4,4
GEN24_1001169,4,4,3,4
GEN24_1001170,4,4,4,4
GEN24_1001176,4,4,4,4
GEN24_1001178,4,4,3,4
GEN24_1001182,4,4,4,3
GEN24_1001183,4,3,4,4
GEN24_1001187,4,4,4,4
GEN24_1001188,4,4,4,4
GEN24_1001191,4,4,4,4
GEN24_1001192,4,4,4,4
GEN24_1001193,4,4,4,4
GEN24_1001201,4,4,4,4
GEN24_1001209,4,4,3,4
GEN24_1001221,3,3,3,3
GEN24_1001223,4,4,4,4
GEN24_1001226,4,4,4,4
GEN24_1001228,4,4,4,4
GEN24_1001230,4,4,3,4
GEN24_1001234,4,4,4,4
GEN24_1001235,4,4,4,4
GEN24_1001237,4,4,4,4
GEN24_1001242,4,4,4,4
GEN24_1001245,4,4,4,4
GEN24_1001248,4,4,4,4
GEN24_1001253,4,4,4,4
GEN24_1001256,3,4,4,4
GEN24_1001257,4,4,4,4
GEN24_1001258,4,3,4,3
GEN24_1001262,4,4,4,4
GEN24_1001263,4,4,4,3
GEN24_1001267,4,4,4,4
GEN24_1001272,4,4,4,4
GEN24_1001277,4,4,4,4
GEN24_1001281,4,4,4,3
GEN24_1001282,4,4,4,4
GEN24_1001297,4,4,4,4
GEN24_1001313,4,4,4,4
GEN24_1001315,4,4,4,4
GEN24_1001316,4,4,3,4
GEN24_1001317,4,4,4,4
GEN24_1001325,4,4,4,4
GEN24_1001332,4,4,4,4
GEN24_1001336,4,4,4,4
GEN24_1001338,3,4,3,3
GEN24_1001350,3,4,3,4
GEN24_1001355,4,4,4,4
GEN24_1001362,4,4,4,4
GEN24_1001367,4,4,4,4
GEN24_1001370,4,4,4,4
GEN24_1001385,4,4,4,4
GEN24_1001386,4,4,4,4
GEN24_1001388,4,4,4,4
GEN24_1001403,4,4,4,4
GEN24_1001406,4,4,4,4
GEN24_1001407,4,4,4,4
GEN24_1001411,4,4,4,3
GEN24_1001412,4,4,4,4
GEN24_1001417,4,4,4,4
GEN24_1001423,4,4,4,4
GEN24_1001428,4,4,4,4
GEN24_1001429,4,4,4,4
GEN24_1001431,4,4,4,4
GEN24_1001432,4,4,4,4
GEN24_1001434,4,4,4,4
GEN24_1001440,4,4,4,4
GEN24_1001446,4,4,4,4
GEN24_1001447,4,4,4,4
GEN24_1001450,4,4,3,4
GEN24_1001458,4,4,4,4
GEN24_1001461,4,4,4,4
GEN24_1001465,4,4,4,4
GEN24_1001478,4,4,4,4
GEN24_1001481,4,4,4,4
GEN24_1001485,4,4,4,4
GEN24_1001488,4,4,4,4
GEN24_1001493,4,4,4,4
GEN24_1001496,4,4,4,4
GEN24_1001507,4,4,4,4
GEN24_1001511,4,4,4,4
GEN24_1001514,4,4,4,4
GEN24_1001515,4,3,4,4
GEN24_1001519,4,4,4,4
GEN24_1001520,3,4,3,3
GEN24_1001524,4,4,4,4
GEN24_1001526,4,4,4,4
GEN24_1001527,4,4,4,4
GEN24_1001534,4,4,4,4
GEN24_1001540,4,3,4,4
GEN24_1001542,4,4,4,4
GEN24_1001543,4,4,4,4
GEN24_1001547,4,4,4,4
GEN24_1001548,4,4,4,4
GEN24_1001552,4,4,4,4
GEN24_1001557,3,4,4,4
GEN24_1001558,4,4,4,4
GEN24_1001560,4,4,4,4
GEN24_1001562,4,4,3,3
GEN24_1001566,4,3,4,4
GEN24_1001569,4,4,4,4
GEN24_1001571,4,4,4,4
GEN24_1001572,4,4,4,4
GEN24_1001579,4,4,4,4
GEN24_1001587,4,4,4,4
GEN24_1001592,4,4,4,4
GEN24_1001595,4,4,4,4
GEN24_1001600,4,4,4,4
GEN24_1001610,4,4,3,4
GEN24_1001613,4,4,4,4
GEN24_1001615,4,4,4,4
GEN24_1001622,4,4,4,4
GEN24_1001623,4,4,4,3
