response_id,other_countries_visited_other_countries,other_countries_no_countries_visited,other_countries_visited_before,other_countries_visited_after
GEN24_1000488,1,1,1,0
GEN24_1000512,1,1,0,1
GEN24_1000612,1,3,1,1
GEN24_1000637,1,1,1,0
GEN24_1000719,1,1,1,1
GEN24_1000729,1,1,0,1
GEN24_1000731,1,1,1,1
GEN24_1000746,1,1,1,0
GEN24_1000748,1,1,0,1
GEN24_1000778,1,1,0,1
GEN24_1000829,1,1,0,1
GEN24_1000853,1,1,1,1
GEN24_1000871,1,2,1,1
GEN24_1000873,1,1,1,1
GEN24_1000877,1,1,1,0
GEN24_1000879,1,2,1,1
GEN24_1000927,1,1,0,1
GEN24_1000980,1,1,1,0
GEN24_1000992,1,1,1,1
GEN24_1001074,1,1,0,1
GEN24_1001090,1,1,1,0
GEN24_1001135,1,1,1,0
GEN24_1001139,1,2,1,1
GEN24_1001160,1,1,1,1
GEN24_1001183,1,1,1,0
GEN24_1001209,1,1,1,0
GEN24_1001230,1,1,1,1
GEN24_1001235,1,1,1,0
GEN24_1001313,1,1,0,1
GEN24_1001350,1,2,1,1
GEN24_1001417,1,1,1,1
GEN24_1001440,1,1,0,1
GEN24_1001446,1,6,1,1
GEN24_1001447,1,3,1,0
GEN24_1001478,1,1,0,1
GEN24_1001493,1,1,1,0
GEN24_1001507,1,2,0,1
GEN24_1001511,1,1,1,0
GEN24_1001514,1,1,0,1
GEN24_1001527,1,2,1,1
GEN24_1001548,1,1,1,0
GEN24_1001557,1,1,0,1
GEN24_1001560,1,1,1,1
GEN24_1001646,1,2,1,1
GEN24_1001651,1,1,0,1
GEN24_1001659,1,2,1,1
GEN24_1001681,1,1,1,1
GEN24_1001696,1,1,0,1
GEN24_1001701,1,1,1,0
GEN24_1001717,1,1,0,1
GEN24_1001757,1,1,1,0
GEN24_1001771,1,1,1,0
GEN24_1001793,1,1,1,1
GEN24_1001805,1,1,1,1
GEN24_1001822,1,1,1,0
GEN24_1001841,1,1,1,0
GEN24_1001872,1,1,1,0
GEN24_1001889,1,1,0,1
GEN24_1001901,1,1,1,0
GEN24_1001906,1,1,1,1
GEN24_1001918,1,5,1,1
GEN24_1001924,1,2,1,1
GEN24_1001930,1,1,1,0
GEN24_1001940,1,1,1,0
GEN24_1001971,1,1,1,0
GEN24_1001972,1,1,1,1
GEN24_1001975,1,2,1,0
GEN24_1001986,1,1,1,1
GEN24_1002005,1,3,1,1
GEN24_1002009,1,1,0,1
GEN24_1002011,1,1,1,0
GEN24_1002022,1,1,0,1
GEN24_1002039,1,1,1,1
GEN24_1002092,1,1,0,1
GEN24_1002171,1,1,1,1
GEN24_1002191,1,1,1,0
GEN24_1002226,1,1,0,1
