response_id,departure_location,country_of_residence,country_of_residence_group,gender,first_nz_trip,arrival_location,arrival_date,no_days_in_nz,package_deal,age_range,travel_type,sustainability_considered,treated_spend,visit_purpose,arrival_month,arrival_year,arrival_season
GEN24_1000426,Wellington,Australia,Australia,Male,No,Wellington airport,2022-07-01,10,No,45 - 49,Independent Traveller,Sometimes,649.9739167,To visit family,7,2022,Winter
GEN24_1000430,Wellington,Australia,Australia,Male,No,Wellington airport,2022-06-18,23,No,45 - 49,Independent Traveller,Sometimes,1950,To visit family,6,2022,Winter
GEN24_1000442,Christchurch,Australia,Australia,Male,No,Christchurch airport,2022-06-28,13,No,45 - 49,Independent Traveller,Not sure,947.10485,To visit friends,6,2022,Winter
GEN24_1000443,Christchurch,Australia,Australia,Female,No,Auckland airport,2022-06-29,12,No,20 - 24,Independent Traveller,NA,2729.89045,Just for the holiday,6,2022,Winter
GEN24_1000446,Christchurch,Australia,Australia,Male,No,Wellington airport,2022-06-12,29,No,55 - 59,Independent Traveller,Sometimes,3732.70735,To care for a family member or friend,6,2022,Winter
GEN24_1000447,Christchurch,Australia,Australia,Male,No,Christchurch airport,2022-07-08,3,No,50 - 54,Independent Traveller,Never,1727.07355,Just for the holiday,7,2022,Winter
GEN24_1000456,Christchurch,Australia,Australia,Female,No,Christchurch airport,2022-07-01,10,No,40 - 44,Independent Traveller,Sometimes,2800,Just for the holiday,7,2022,Winter
GEN24_1000460,Christchurch,Australia,Australia,Male,No,Auckland airport,2022-06-17,24,No,70 - 74,Independent Traveller,Never,2294.222219,To visit family,6,2022,Winter
GEN24_1000468,Christchurch,Australia,Australia,Female,No,Wellington airport,2022-06-24,17,No,55 - 59,Independent Traveller,Sometimes,1559.9374,To visit family,6,2022,Winter
GEN24_1000472,Christchurch,Australia,Australia,Male,No,Auckland airport,2022-07-03,8,No,50 - 54,Independent Traveller,Not sure,4590.67292,Just for the holiday,7,2022,Winter
GEN24_1000474,Christchurch,Australia,Australia,Female,No,Auckland airport,2022-06-21,20,No,20 - 24,Independent Traveller,Always,2456.901405,Just for the holiday,6,2022,Winter
GEN24_1000476,Christchurch,Australia,Australia,Female,No,Christchurch airport,2022-06-28,13,No,65 - 69,Independent Traveller,Sometimes,1066,To visit family,6,2022,Winter
GEN24_1000481,Christchurch,Australia,Australia,Female,No,Auckland airport,2022-06-27,14,No,50 - 54,Independent Traveller,Always,1504.22535,"For a wedding, funeral, other family occasion",6,2022,Winter
GEN24_1000484,Auckland,United States of America,USA,Female,No,Auckland airport,2022-06-21,20,No,55 - 59,Independent Traveller,Sometimes,3606.56406,To visit family,6,2022,Winter
GEN24_1000485,Auckland,United States of America,USA,Male,No,Auckland airport,2022-06-28,13,No,45 - 49,Independent Traveller,Sometimes,4299.026533,To visit family,6,2022,Winter
GEN24_1000497,Wellington,Australia,Australia,Male,Yes,Wellington airport,2022-07-01,10,No,20 - 24,Independent Traveller,Always,779.9687,To visit family,7,2022,Winter
GEN24_1000498,Wellington,Australia,Australia,Male,Yes,Wellington airport,2022-06-22,20,No,35 - 39,Independent Traveller,Most of the time,4286.801813,Business,6,2022,Winter
GEN24_1000502,Wellington,Australia,Australia,Female,No,Wellington airport,2022-07-04,8,No,55 - 59,Independent Traveller,Most of the time,835.68075,To visit family,7,2022,Winter
GEN24_1000508,Christchurch,Singapore,Rest of Asia,Female,Yes,Christchurch airport,2022-07-05,7,No,40 - 44,Independent Traveller,Most of the time,4993.879747,Just for the holiday,7,2022,Winter
GEN24_1000510,Christchurch,Spain,Rest of Europe,Female,No,Christchurch airport,2022-05-04,69,No,60 - 64,Independent Traveller,Rarely,6522.096467,To visit family,5,2022,Autumn
GEN24_1000511,Auckland,Australia,Australia,Female,No,Auckland airport,2022-07-05,7,No,50 - 54,Independent Traveller,Rarely,2729.89045,To visit family,7,2022,Winter
GEN24_1000512,Auckland,Australia,Australia,Female,No,Auckland airport,2022-07-04,8,No,35 - 39,Independent Traveller,NA,549.6922267,Holiday - Other,7,2022,Winter
GEN24_1000514,Auckland,England,UK,Male,No,Auckland airport,2022-05-18,55,No,70 - 74,Independent Traveller,NA,19662.20258,To visit family,5,2022,Autumn
GEN24_1000518,Auckland,Australia,Australia,Female,No,Auckland airport,2022-06-30,12,No,35 - 39,Independent Traveller,Most of the time,1362.159623,"For a wedding, funeral, other family occasion",6,2022,Winter
GEN24_1000521,Auckland,Australia,Australia,Female,No,Auckland airport,2022-07-06,6,No,45 - 49,Independent Traveller,Not sure,2244.399729,To visit family,7,2022,Winter
GEN24_1000522,Auckland,United States of America,USA,Female,No,Auckland airport,2022-06-18,24,No,35 - 39,Independent Traveller,Most of the time,2559.041387,To visit friends,6,2022,Winter
GEN24_1000523,Auckland,United States of America,USA,Female,No,Auckland airport,2022-06-25,17,No,30 - 34,Independent Traveller,Most of the time,692.7341333,To visit family,6,2022,Winter
GEN24_1000524,Auckland,United States of America,USA,Female,No,Auckland airport,2022-06-23,19,No,65 - 69,Independent Traveller,Most of the time,749.7828267,To visit family,6,2022,Winter
GEN24_1000528,Wellington,Australia,Australia,Female,No,Christchurch airport,2022-06-20,23,No,Under 20,Independent Traveller,Most of the time,4100.40688,Just for the holiday,6,2022,Winter
GEN24_1000530,Wellington,Australia,Australia,Male,No,Wellington airport,2022-07-11,2,No,50 - 54,Independent Traveller,Most of the time,597.233176,Business,7,2022,Winter
GEN24_1000534,Wellington,Australia,Australia,Male,No,Wellington airport,2022-07-09,4,No,45 - 49,Independent Traveller,Most of the time,612.83255,To visit family,7,2022,Winter
GEN24_1000535,Wellington,Australia,Australia,Female,No,Queenstown airport,2022-07-03,10,No,45 - 49,Independent Traveller,Sometimes,5351.699523,Holiday - Other,7,2022,Winter
GEN24_1000536,Auckland,England,UK,Female,No,Auckland airport,2022-06-15,28,No,65 - 69,Independent Traveller,Most of the time,4028.3537,To visit family,6,2022,Winter
GEN24_1000538,Auckland,Australia,Australia,Male,No,Auckland airport,2022-06-12,31,No,40 - 44,Independent Traveller,Sometimes,842.366196,To visit family,6,2022,Winter
GEN24_1000539,Auckland,Australia,Australia,Male,No,Auckland airport,2022-07-11,2,No,25 - 29,Independent Traveller,Never,1392.80125,Business,7,2022,Winter
GEN24_1000540,Auckland,Canada,Canada,Female,No,Auckland airport,2022-06-10,33,No,25 - 29,Independent Traveller,Always,1461.5172,To visit family,6,2022,Winter
GEN24_1000542,Auckland,Canada,Canada,Female,No,Auckland airport,2022-05-20,54,No,60 - 64,Independent Traveller,Sometimes,2654.465,To visit family,5,2022,Autumn
GEN24_1000543,Wellington,Australia,Australia,Male,No,Auckland airport,2022-07-12,2,No,35 - 39,Independent Traveller,Not sure,228.419405,Business,7,2022,Winter
