response_id,app_based_services_such_as_uber_ola_etc,car_or_van_owned_by_you_family_friend_s_company,taxi_shuttle_service,bicycle,other_bus_service,train,rental_car,plane_within_new_zealand,helicopter,other_boat_or_ship,rental_campervan_motor_home,local_bus_service,other_type_of_transport,limousine_car_with_driver_included,motorcycle,bus_service_between_towns_cities,other_ferry,tour_bus,not_sure,scenic_trains,campervan_motor_home_owned_by_you_family_friend_s,hitch_hiking,yacht,the_ferry_between_the_north_island_and_the_south_island,drove_themselves
GEN24_1000426,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000430,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000442,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN24_1000446,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000447,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000460,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000468,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000472,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000474,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000476,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEN24_1000481,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN24_1000484,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
